"id";"text";"is_labelled"
"659370766572490752";"""Be SPOOK-tacular and win Iphone 6s, iphone 6+, apple watch” at SKELETUNES RISING @BLOWF1SH 
RSVP : 
085710800001 https://t.co/iCSaC9I9DC";"0"
"660607221408010240";"""Becik ketitik ala ketara."" Berbuat baik maupun buruk akhirnya akan terlihat juga. #pepatahjawa";"0"
"673302172549820416";"""Berhentilah di Stop Line"". Tertib Berlalu Lintas Cermin Budaya Wong Solo. #SoloTertibLalin https://t.co/oV1A6msTQh";"0"
"659330024139542529";"""Beribu Pulau, Beragam Budaya Adalah Imajinasi Tanpa Batas""
Selasa, 3 November 2015
Pkl 19.00-21.30 wib
Balai... https://t.co/synEny3Qh4";"0"
"659313220830674944";"""Beribu Pulau, Beragam Budaya Adalah Imajinasi Tanpa Batas"" | 3 Nov 2015 pkl 19.00-21.30 WIB | Balai Soedjatmoko https://t.co/16FZRYFcU8";"0"
"653767204018720768";"""Better keep yourself clean and bright; you are the window through which you must see the world."" - George Bernard Shaw // Pagi Eventholic";"0"
"655157548337598464";"""Bisa nggambang, ora bisa nyuling. Bisa nyawang, ora bisa nyandhing."" #parikan";"0"
"658166123934842880";"""Bisa nggender, ora bisa ndemung. Bisa jejer, ora bisa nembung."" #parikan";"0"
"668321014393077760";"""Black&amp;White"" The Weekend Bazaar is CALLING FOR TENANT! The first exclusive thematic bazaar in Malang! 08118706546 https://t.co/zY12WkYZTY";"0"
"668353239088164864";"""Black&amp;White"" The Weekend Bazaar is CALLING FOR TENANT!! The first exclusive thematic bazaar in Malang! 08118706546 https://t.co/zY12WkYZTY";"0"
"668085212559994882";"""Black&amp;White"" The Weekend Bazaar. is CALLING FOR TENANT!! The first exclusive thematic bazaar in Malang! 08118706546 https://t.co/zY12WkYZTY";"0"
"668078667776438272";"""Black&amp;White"". The Weekend Bazaar is CALLING FOR TENANT! The first exclusive thematic bazaar in Malang! 08118706546 https://t.co/zY12WkYZTY";"0"
"659504969138106369";"""Byung-byung tawon kambu."" Orang yang suka berkumpul-kumpul tanpa ada keperluan. #pepatahjawa";"0"
